frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
164,Jun 17 2019 12:38:10.827889000 MST,0.000859000,72,70,1
165,Jun 17 2019 12:38:10.828953000 MST,0.001064000,128,70,1
166,Jun 17 2019 12:38:10.830063000 MST,0.001110000,188,70,1
167,Jun 17 2019 12:38:10.845002000 MST,0.014939000,548,70,0
168,Jun 17 2019 12:38:10.854110000 MST,0.009108000,886,70,0
169,Jun 17 2019 12:38:10.863184000 MST,0.009074000,1158,70,0
170,Jun 17 2019 12:38:10.866944000 MST,0.003760000,128,70,1
171,Jun 17 2019 12:38:10.869053000 MST,0.002109000,72,70,1
172,Jun 17 2019 12:38:10.872125000 MST,0.003072000,1446,70,0
173,Jun 17 2019 12:38:10.874071000 MST,0.001946000,3197,70,1
174,Jun 17 2019 12:38:10.889988000 MST,0.015917000,72,70,1
175,Jun 17 2019 12:38:10.899926000 MST,0.009938000,532,70,1
176,Jun 17 2019 12:38:10.901011000 MST,0.001085000,340,70,1
177,Jun 17 2019 12:38:10.904980000 MST,0.003969000,548,70,0
178,Jun 17 2019 12:38:10.910040000 MST,0.005060000,1635,70,1
179,Jun 17 2019 12:38:10.910925000 MST,0.000885000,340,70,1
180,Jun 17 2019 12:38:10.915005000 MST,0.004080000,72,70,1
181,Jun 17 2019 12:38:10.925050000 MST,0.010045000,548,70,0
182,Jun 17 2019 12:38:10.962025000 MST,0.036975000,822,70,1
183,Jun 17 2019 12:38:10.962912000 MST,0.000887000,1398,70,1
184,Jun 17 2019 12:38:10.964013000 MST,0.001101000,612,70,1
185,Jun 17 2019 12:38:10.965113000 MST,0.001100000,548,70,0
186,Jun 17 2019 12:38:10.984991000 MST,0.019878000,548,70,0
187,Jun 17 2019 12:38:11.025090000 MST,0.040099000,548,70,0
188,Jun 17 2019 12:38:11.070969000 MST,0.045879000,72,70,1
189,Jun 17 2019 12:38:11.105122000 MST,0.034153000,548,70,0
190,Jun 17 2019 12:38:11.113952000 MST,0.008830000,72,70,0
191,Jun 17 2019 12:38:11.124985000 MST,0.011033000,548,70,0
192,Jun 17 2019 12:38:11.154009000 MST,0.029024000,708,70,1
