frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction,Application
204,Jul 26 2019 19:16:34.566509000 MST,0.034947,108,70.0,1.0,amazon
205,Jul 26 2019 19:16:34.583592000 MST,0.017083,340,70.0,1.0,amazon
206,Jul 26 2019 19:16:34.591575000 MST,0.007983,548,70.0,0.0,amazon
207,Jul 26 2019 19:16:34.593639000 MST,0.002064,308,70.0,1.0,amazon
208,Jul 26 2019 19:16:34.631666000 MST,0.038027,548,70.0,0.0,amazon
209,Jul 26 2019 19:16:34.651566000 MST,0.0199,548,70.0,0.0,amazon
210,Jul 26 2019 19:16:34.676496000 MST,0.02493,308,70.0,1.0,amazon
211,Jul 26 2019 19:16:34.711711000 MST,0.035215,548,70.0,0.0,amazon
212,Jul 26 2019 19:16:34.716612000 MST,0.004901,72,70.0,1.0,amazon
213,Jul 26 2019 19:16:34.736645000 MST,0.020033,64,70.0,1.0,amazon
214,Jul 26 2019 19:16:34.751634000 MST,0.014989,548,70.0,0.0,amazon
215,Jul 26 2019 19:16:34.760676000 MST,0.009042,300,70.0,0.0,amazon
216,Jul 26 2019 19:16:34.819514000 MST,0.058838,484,70.0,1.0,amazon
217,Jul 26 2019 19:16:34.821660000 MST,0.002146,3978,70.0,1.0,amazon
218,Jul 26 2019 19:16:34.822544000 MST,0.000884,3978,70.0,1.0,amazon
219,Jul 26 2019 19:16:34.823625000 MST,0.001081,3557,70.0,1.0,amazon
220,Jul 26 2019 19:16:34.824482000 MST,0.000857,3978,70.0,1.0,amazon
221,Jul 26 2019 19:16:34.825666000 MST,0.001184,2784,70.0,1.0,amazon
222,Jul 26 2019 19:16:34.851706000 MST,0.02604,548,70.0,0.0,amazon
223,Jul 26 2019 19:16:34.860531000 MST,0.008825,28,70.0,0.0,amazon
224,Jul 26 2019 19:16:34.869597000 MST,0.009066,300,70.0,0.0,amazon
225,Jul 26 2019 19:16:34.878767000 MST,0.00917,1707,70.0,0.0,amazon
226,Jul 26 2019 19:16:34.879632000 MST,0.000865,1302,70.0,0.0,amazon
227,Jul 26 2019 19:16:34.887821000 MST,0.008189,1707,70.0,0.0,amazon
228,Jul 26 2019 19:16:34.924565000 MST,0.036744,64,70.0,1.0,amazon
229,Jul 26 2019 19:16:34.944616000 MST,0.020051,108,70.0,1.0,amazon
230,Jul 26 2019 19:16:34.951606000 MST,0.00699,548,70.0,0.0,amazon
231,Jul 26 2019 19:16:34.960647000 MST,0.009041,548,70.0,0.0,amazon
232,Jul 26 2019 19:16:35.025524000 MST,0.064877,64,70.0,1.0,amazon
233,Jul 26 2019 19:16:35.053607000 MST,0.028083,886,70.0,1.0,amazon
234,Jul 26 2019 19:16:35.054626000 MST,0.001019,120,70.0,1.0,amazon
235,Jul 26 2019 19:16:35.091588000 MST,0.036962,548,70.0,0.0,amazon
236,Jul 26 2019 19:16:35.307642000 MST,0.216054,468,70.0,1.0,amazon
237,Jul 26 2019 19:16:35.309610000 MST,0.001968,3978,70.0,1.0,amazon
238,Jul 26 2019 19:16:35.310643000 MST,0.001033,3978,70.0,1.0,amazon
239,Jul 26 2019 19:16:35.311535000 MST,0.000892,3978,70.0,1.0,amazon
240,Jul 26 2019 19:16:35.312588000 MST,0.001053,3978,70.0,1.0,amazon
241,Jul 26 2019 19:16:35.313480000 MST,0.000892,3978,70.0,1.0,amazon
242,Jul 26 2019 19:16:35.314554000 MST,0.001074,3978,70.0,1.0,amazon
243,Jul 26 2019 19:16:35.315644000 MST,0.00109,3978,70.0,1.0,amazon
244,Jul 26 2019 19:16:35.316500000 MST,0.000856,2976,70.0,1.0,amazon
245,Jul 26 2019 19:16:35.351700000 MST,0.0352,548,70.0,0.0,amazon
246,Jul 26 2019 19:16:35.391623000 MST,0.039923,548,70.0,0.0,amazon
247,Jul 26 2019 19:16:35.400756000 MST,0.009133,1158,70.0,0.0,amazon
248,Jul 26 2019 19:16:35.401641000 MST,0.000885,1158,70.0,0.0,amazon
249,Jul 26 2019 19:16:35.402568000 MST,0.000927,232,70.0,0.0,amazon
250,Jul 26 2019 19:16:35.409846000 MST,0.007278,1446,70.0,0.0,amazon
251,Jul 26 2019 19:16:35.410691000 MST,0.000845,1446,70.0,0.0,amazon
252,Jul 26 2019 19:16:35.466620000 MST,0.055929,108,70.0,1.0,amazon
253,Jul 26 2019 19:16:35.571716000 MST,0.105096,548,70.0,0.0,amazon
254,Jul 26 2019 19:16:35.580632000 MST,0.008916,790,70.0,0.0,amazon
255,Jul 26 2019 19:16:35.645641000 MST,0.065009,64,70.0,1.0,amazon
256,Jul 26 2019 19:16:35.710599000 MST,0.064958,1851,70.0,1.0,amazon
257,Jul 26 2019 19:16:35.711629000 MST,0.00103,3978,70.0,1.0,amazon
258,Jul 26 2019 19:16:35.712527000 MST,0.000898,3978,70.0,1.0,amazon
259,Jul 26 2019 19:16:35.713606000 MST,0.001079,822,70.0,1.0,amazon
260,Jul 26 2019 19:16:35.731587000 MST,0.017981,548,70.0,0.0,amazon
261,Jul 26 2019 19:16:35.751619000 MST,0.020032,548,70.0,0.0,amazon
262,Jul 26 2019 19:16:35.791546000 MST,0.039927,548,70.0,0.0,amazon
263,Jul 26 2019 19:16:35.806576000 MST,0.01503,176,70.0,1.0,amazon
264,Jul 26 2019 19:16:35.831655000 MST,0.025079,548,70.0,0.0,amazon
265,Jul 26 2019 19:16:35.840656000 MST,0.009001,88,70.0,1.0,amazon
266,Jul 26 2019 19:16:35.848659000 MST,0.008003,64,70.0,1.0,amazon
267,Jul 26 2019 19:16:35.855564000 MST,0.006905,256,70.0,1.0,amazon
268,Jul 26 2019 19:16:35.871552000 MST,0.015988,548,70.0,0.0,amazon
269,Jul 26 2019 19:16:35.874542000 MST,0.00299,88,70.0,1.0,amazon
270,Jul 26 2019 19:16:35.880574000 MST,0.006032,72,70.0,1.0,amazon
271,Jul 26 2019 19:16:35.883625000 MST,0.003051,1398,70.0,1.0,amazon
272,Jul 26 2019 19:16:35.884631000 MST,0.001006,3978,70.0,1.0,amazon
273,Jul 26 2019 19:16:35.885531000 MST,0.0009,78,70.0,1.0,amazon
274,Jul 26 2019 19:16:35.891618000 MST,0.006087,548,70.0,0.0,amazon
275,Jul 26 2019 19:16:35.894606000 MST,0.002988,148,70.0,1.0,amazon
276,Jul 26 2019 19:16:35.895624000 MST,0.001018,88,70.0,1.0,amazon
277,Jul 26 2019 19:16:35.900640000 MST,0.005016,64,70.0,0.0,amazon
278,Jul 26 2019 19:16:35.903642000 MST,0.003002,216,70.0,1.0,amazon
279,Jul 26 2019 19:16:35.904496000 MST,0.000854,72,70.0,1.0,amazon
280,Jul 26 2019 19:16:35.911666000 MST,0.00717,548,70.0,0.0,amazon
281,Jul 26 2019 19:16:35.931716000 MST,0.02005,548,70.0,0.0,amazon
282,Jul 26 2019 19:16:35.939644000 MST,0.007928,468,70.0,1.0,amazon
